absolute_course_url,subject_name,course_name
https://www.class-central.com/course/coursera-mathematics-for-machine-learning-pca-10451,Learn Computer Science,Mathematics for Machine Learning: PCA
https://www.class-central.com/course/coursera-overview-of-advanced-methods-of-reinforcement-learning-in-finance-11240,Learn Computer Science,Overview of Advanced Methods of Reinforcement Learning in Finance
https://www.class-central.com/course/coursera-matrix-factorization-and-advanced-techniques-6933,Learn Computer Science,Matrix Factorization and Advanced Techniques
https://www.class-central.com/course/coursera-system-validation-automata-and-behavioural-equivalences-6825,Learn Computer Science,System Validation: Automata and behavioural equivalences
https://www.class-central.com/course/coursera-cybersecurity-and-mobility-6584,Learn Computer Science,Cybersecurity and Mobility
https://www.class-central.com/course/coursera-cybersecurity-policy-for-aviation-and-internet-infrastructures-8819,Learn Computer Science,Cybersecurity Policy for Aviation and Internet Infrastructures
https://www.class-central.com/course/coursera-essential-cloud-infrastructure-core-services-8763,Learn Computer Science,Essential Cloud Infrastructure: Core Services
https://www.class-central.com/course/coursera-homeland-security-and-cybersecurity-future-8821,Learn Computer Science,Homeland Security and Cybersecurity Future
https://www.class-central.com/course/coursera-feature-engineering-11074,Learn Computer Science,Feature Engineering
https://www.class-central.com/course/coursera-on-premises-management-security-and-upgrade-with-google-cloud-s-apigee-api-platform-10747,Learn Computer Science,"On Premises Management, Security, and Upgrade with Google Cloud's Apigee API Platform"
https://www.class-central.com/course/coursera-introduction-to-computer-programming-12185,Learn Computer Science,Introduction to Computer Programming 
https://www.class-central.com/course/coursera-palo-alto-networks-academy-cybersecurity-foundation-12008,Learn Computer Science,Palo Alto Networks Academy Cybersecurity Foundation
https://www.class-central.com/course/coursera-palo-alto-networks-cybersecurity-essentials-ii-12015,Learn Computer Science,Palo Alto Networks Cybersecurity Essentials II
https://www.class-central.com/course/coursera-essential-cloud-infrastructure-core-services-en-francais-12577,Learn Computer Science,Essential Cloud Infrastructure: Core Services en Français
https://www.class-central.com/course/coursera-elastic-cloud-infrastructure-containers-and-services-auf-deutsch-12488,Learn Computer Science,Elastic Cloud Infrastructure: Containers and Services auf Deutsch
https://www.class-central.com/course/coursera-reliable-cloud-infrastructure-design-and-process-en-espanol-12490,Learn Computer Science,Reliable Cloud Infrastructure: Design and Process en Español
https://www.class-central.com/course/coursera-networks-illustrated-principles-without-calculus-891,Learn Computer Science,Networks Illustrated: Principles without Calculus
https://www.class-central.com/course/coursera--2348,Learn Computer Science,操作系统与虚拟化安全
https://www.class-central.com/course/coursera-testing-with-agile-6523,Learn Computer Science,Testing with Agile
https://www.class-central.com/course/coursera-cybersecurity-and-the-x-factor-6585,Learn Computer Science,Cybersecurity and the X-Factor
https://www.class-central.com/course/coursera-embedded-hardware-and-operating-systems-6826,Learn Computer Science,Embedded Hardware and Operating Systems
https://www.class-central.com/course/coursera-nearest-neighbor-collaborative-filtering-6927,Learn Computer Science,Nearest Neighbor Collaborative Filtering
https://www.class-central.com/course/coursera-building-arduino-robots-and-devices-7785,Learn Computer Science,Building Arduino robots and devices
https://www.class-central.com/course/coursera-addressing-large-hadron-collider-challenges-by-machine-learning-9609,Learn Computer Science,Addressing Large Hadron Collider Challenges by Machine Learning
https://www.class-central.com/course/coursera-mathematics-for-machine-learning-multivariate-calculus-10452,Learn Computer Science,Mathematics for Machine Learning: Multivariate Calculus
https://www.class-central.com/course/coursera-access-controls-10337,Learn Computer Science,Access Controls 
